receipt_id,order_id,article_id,supplier_id,receipt_date,qty,unit
RC-000399,,P-00097112,S-000904,2026-09-14,4817.5,KG
RC-000400,PO-000732,P-00162871,S-000378,2026-03-16,6360,PCE
RC-000401,,P-00162871,S-000378,2026-03-20,6480,PCE
RC-000402,,P-00162871,S-000378,2026-03-27,12240,PCE
RC-000403,PO-000737,P-00162871,S-000378,2026-04-02,8520,PCE
RC-000404,PO-000738,P-00162871,S-000378,2026-04-09,7680,PCE
RC-000405,PO-000739,P-00162871,S-000378,2026-04-13,5400,PCE
RC-000406,,P-00162871,S-000378,2026-04-17,12360,PCE
RC-000407,,P-00162871,S-000378,2026-04-22,9240,PCE
RC-000408,,P-00162871,S-000378,2026-04-24,4320,PCE
RC-000409,PO-000744,P-00162871,S-000378,2026-04-30,9120,PCE
RC-000410,PO-000746,P-00162871,S-000378,2026-05-07,10200,PCE
RC-000411,,P-00162871,S-000378,2026-05-18,15120,PCE
RC-000412,,P-00162871,S-000378,2026-05-26,20280,PCE
RC-000413,PO-000748,P-00162871,S-000378,2026-06-29,21000,PCE
RC-000414,,P-00162871,S-000378,2026-07-06,9600,PCE
RC-000415,,P-00162871,S-000378,2026-07-08,1440,PCE
RC-000416,,P-00162871,S-000378,2026-07-15,4800,PCE
RC-000417,,P-00162871,S-000378,2026-09-16,3360,PCE
RC-000418,PO-000776,P-00162871,S-001562,2026-05-07,12000,PCE
RC-000419,PO-000777,P-00162871,S-001562,2026-05-18,12000,PCE
RC-000420,PO-000778,P-00162871,S-001562,2026-05-27,14400,PCE
RC-000421,PO-000779,P-00162871,S-001562,2026-06-03,14400,PCE
RC-000422,,P-00162871,S-001562,2026-06-09,7200,PCE
RC-000423,,P-00162871,S-001562,2026-06-15,7200,PCE
RC-000424,PO-000782,P-00162871,S-001562,2026-06-18,7200,PCE
RC-000425,PO-000783,P-00162871,S-001562,2026-06-26,7200,PCE
RC-000426,PO-000784,P-00162871,S-001562,2026-07-08,15360,PCE
RC-000427,PO-000785,P-00162871,S-001562,2026-07-21,10080,PCE
RC-000428,PO-000786,P-00162871,S-001562,2026-08-25,7200,PCE
RC-000429,PO-000787,P-00162871,S-001562,2026-08-27,9120,PCE
RC-000430,PO-000788,P-00162871,S-001562,2026-09-01,4800,PCE
RC-000431,PO-000789,P-00162871,S-001562,2026-09-04,11520,PCE
RC-000432,PO-000790,P-00162871,S-001562,2026-09-08,12480,PCE
RC-000433,PO-000791,P-00162871,S-001562,2026-09-14,7680,PCE
RC-000434,PO-000792,P-00162871,S-001562,2026-09-17,10560,PCE
RC-000435,PO-000819,P-00197812,S-000378,2026-04-13,1330,PCE
RC-000436,,P-00197812,S-000378,2026-04-17,665,PCE
RC-000437,,P-00197812,S-000378,2026-04-22,665,PCE
RC-000438,PO-000824,P-00197812,S-000378,2026-04-30,95,PCE
RC-000439,PO-000825,P-00197812,S-000378,2026-05-04,2470,PCE
RC-000440,PO-000826,P-00197812,S-000378,2026-05-07,760,PCE
RC-000441,,P-00197812,S-000378,2026-05-20,2205,PCE
RC-000442,,P-00197812,S-000378,2026-05-27,1615,PCE
RC-000443,PO-000831,P-00197812,S-000378,2026-05-28,1680,PCE
RC-000444,,P-00197812,S-000378,2026-05-29,2520,PCE
RC-000445,,P-00197812,S-000378,2026-06-03,665,PCE
RC-000446,,P-00197812,S-000378,2026-06-04,1050,PCE
RC-000447,,P-00197812,S-000378,2026-06-10,2755,PCE
RC-000448,,P-00197812,S-000378,2026-06-11,3675,PCE
RC-000449,,P-00197812,S-000378,2026-06-12,380,PCE
RC-000450,PO-000837,P-00197812,S-000378,2026-06-15,3465,PCE
RC-000451,,P-00197812,S-000378,2026-06-24,570,PCE
RC-000452,,P-00197812,S-000378,2026-06-26,3465,PCE
RC-000453,PO-000841,P-00197812,S-000378,2026-07-06,1260,PCE
RC-000454,,P-00197812,S-000378,2026-07-08,1470,PCE
RC-000455,,P-00197812,S-000378,2026-07-10,1890,PCE
RC-000456,PO-000844,P-00197812,S-000378,2026-07-27,1140,PCE
RC-000457,PO-000845,P-00197812,S-000378,2026-08-09,1805,PCE
RC-000458,,P-00197812,S-000378,2026-08-27,190,PCE
RC-000459,,P-00197812,S-000378,2026-09-08,3465,PCE
RC-000460,,P-00197812,S-000378,2026-09-09,2415,PCE
RC-000461,,P-00197812,S-000378,2026-09-16,855,PCE
RC-000462,PO-000876,P-00197812,S-001562,2026-05-05,475,PCE
RC-000463,PO-000877,P-00197812,S-001562,2026-05-12,475,PCE
RC-000464,PO-000878,P-00197812,S-001562,2026-05-19,570,PCE
RC-000465,PO-000879,P-00197812,S-001562,2026-05-27,665,PCE
RC-000466,,P-00197812,S-001562,2026-06-09,760,PCE
RC-000467,PO-000882,P-00197812,S-001562,2026-06-15,665,PCE
RC-000468,PO-000884,P-00197812,S-001562,2026-06-24,760,PCE
RC-000469,PO-000885,P-00197812,S-001562,2026-07-08,1710,PCE
RC-000470,PO-000886,P-00197812,S-001562,2026-07-20,2470,PCE
RC-000471,PO-000887,P-00197812,S-001562,2026-08-06,1140,PCE
RC-000472,PO-000889,P-00197812,S-001562,2026-08-27,380,PCE
RC-000473,PO-000890,P-00197812,S-001562,2026-09-01,1520,PCE
RC-000474,PO-000891,P-00197812,S-001562,2026-09-04,1805,PCE
RC-000475,PO-000892,P-00197812,S-001562,2026-09-08,1140,PCE
RC-000476,PO-000893,P-00197812,S-001562,2026-09-14,2185,PCE
RC-000477,PO-000894,P-00197812,S-001562,2026-09-17,760,PCE
